tc_id,req_id,coverage_id,test_method,priority,preconditions,test_data,steps,expected_result
TC-11,REQ-4,CI-11,Equivalence Partitioning,High,"Multiple products: A (price=10, qty=3, subtotal=30), B (price=25, qty=2, subtotal=50).","Cart: [{'pid':'P01','price':10.00,'qty':3,'stock':10}, {'pid':'P02','price':25.00,'qty':2,'stock':5}]",Submit settlement,"Sum of subtotals = 80.00. Order_original_price=80.00, shipping=10.00, final=90.00."
TC-12,REQ-5,CI-12,Boundary Value Analysis,High,"Order original price exactly 200.00 (e.g., one product price=200, qty=1, stock=5).","Cart: [{'pid':'P01','price':200.00,'qty':1,'stock':5}]",Submit settlement,Shipping fee = 0.00. Final amount = 200.00.
TC-13,REQ-5,CI-13,Boundary Value Analysis,High,"Order original price = 199.99 (e.g., price=199.99, qty=1).","Cart: [{'pid':'P01','price':199.99,'qty':1,'stock':5}]",Submit settlement,Shipping fee = 10.00. Final amount = 209.99.
TC-14,REQ-5,CI-14,Boundary Value Analysis,High,Order original price = 200.01.,"Cart: [{'pid':'P01','price':200.01,'qty':1,'stock':5}]",Submit settlement,"Shipping fee = 0.00, final = 200.01."
TC-15,REQ-6,CI-15,Decision Table,High,"User has invalid product (e.g., price illegal) AND also has other valid products. But validation fails on first product.","Cart: [{'pid':'P01','price':0,'qty':1,'stock':10}, {'pid':'P02','price':10,'qty':1,'stock':10}]",Submit settlement,"Input validation fails at first product (price=0). System returns '商品单价非法', status '结算失败', and does NOT proceed to any calculation (no subtotal, no order price computed)."
TC-16,REQ-6,CI-16,Decision Table,High,"All products valid (e.g., product A price=50 qty=2 stock=10).","Cart: [{'pid':'P01','price':50.00,'qty':2,'stock':10}]",Submit settlement,"Input validation passes. System then calculates subtotal (100), order_original_price (100), shipping (10), final (110). Returns success with all values."
TC-17,REQ-7,CI-17,Equivalence Partitioning,High,"Order original price = 150.00, shipping applied = 10.00.","Cart: [{'pid':'P01','price':150.00,'qty':1,'stock':10}]",Submit settlement,Final amount = 160.00 (150+10).
TC-18,REQ-7,CI-18,Equivalence Partitioning,High,"Order original price = 10.50, shipping = 10.00, final should be 20.50.","Cart: [{'pid':'P01','price':10.50,'qty':1,'stock':10}]",Submit settlement,Final amount displayed as 20.50 (two decimal places).
TC-19,REQ-8,CI-19,Equivalence Partitioning,High,"Valid cart with one product: price=100, qty=2, stock=5.","Cart: [{'pid':'P01','price':100.00,'qty':2,'stock':5}]",Submit settlement,"Response contains: order_original_price=200.00, shipping_fee=0.00, final_amount=200.00, status='结算成功'."
TC-20,REQ-8,CI-20,Equivalence Partitioning,High,"Multiple products: A price=30 qty=3 (subtotal 90), B price=40 qty=2 (subtotal 80). Total=170 <200 so shipping=10.","Cart: [{'pid':'P01','price':30,'qty':3,'stock':10}, {'pid':'P02','price':40,'qty':2,'stock':8}]",Submit settlement,"All calculations correct: subtotals 90 and 80, order=170, shipping=10, final=180. Status success."
TC-21,REQ-9,CI-21,Equivalence Partitioning,High,"Cart contains one invalid product (e.g., qty > stock). Also there are valid items; but overall failure.","Cart: [{'pid':'P01','price':10,'qty':100,'stock':2}]",Submit settlement,"Settlement fails, status '结算失败', error message '库存不足'. After failure, shopping cart content remains unchanged (including the invalid product) and is not cleared."
TC-22,REQ-9,CI-22,Decision Table,High,Cart with multiple failures: empty cart AND price illegal? Actually empty cart is a single failure; but we can have price=0 and qty=0. Better: price=0 and qty>stock.,"Cart: [{'pid':'P01','price':0,'qty':5,'stock':3}]",Submit settlement,"System detects first failure (price=0) and returns error '商品单价非法'. Does not check subsequent failures. Status '结算失败', cart preserved."
TC-23,REQ-10,CI-23,State Transition Testing,High,"User has a valid cart, initially in '待结算' state.","Cart: [{'pid':'P01','price':10,'qty':1,'stock':5}]",Observe initial state (should be '待结算') | Submit settlement request,"After submission, state immediately changes from '待结算' to '校验中' (system is validating)."
TC-24,REQ-10,CI-24,State Transition Testing,High,"User with valid cart, state becomes '校验中' after submission.","Cart: [{'pid':'P01','price':10,'qty':1,'stock':5}]",Submit settlement | Wait for validation to complete (all checks pass),State transitions from '校验中' to '结算成功'.
TC-25,REQ-10,CI-25,State Transition Testing,High,"User with invalid cart (e.g., price=0), initial state '待结算'.","Cart: [{'pid':'P01','price':0,'qty':1,'stock':5}]",Submit settlement | Validation fails,State transitions from '校验中' to '结算失败'. Remains at '结算失败'.
TC-26,REQ-11,CI-26,Equivalence Partitioning,High,"User submits a settlement request with a client-supplied final_amount field (e.g., final_amount=1.00), but actual amount should be 100.00.","Settlement request includes final_amount=1.00. Cart: [{'pid':'P01','price':50.00,'qty':2,'stock':10}]",Send settlement request with the malicious final_amount | Capture server response,"System ignores client final_amount, recalculates from server data: order_original_price=100.00, shipping=0.00, final_amount=100.00. Response contains correct values."
TC-27,REQ-11,CI-27,Equivalence Partitioning,High,Same as above but client sends negative final_amount (-50.00) and incorrect product values. Cart is valid.,"Cart: [{'pid':'P01','price':30,'qty':3,'stock':10}]  actual order=90, shipping=10, final=100. Client sends final_amount=-50.",Submit request with client_final_amount=-50.00,System computes final_amount=100.00 correctly and returns that. Ignores client value.
TC-28,REQ-12,CI-28,Equivalence Partitioning,Medium,"Single product valid cart, performance monitoring enabled.","Cart: [{'pid':'P01','price':10.00,'qty':1,'stock':100}]",Record start time | Submit settlement request | Record end time,Response time is less than 200 milliseconds.
TC-29,REQ-12,CI-29,Equivalence Partitioning,Medium,"Cart with 50 valid products, performance test environment ready.","Generate cart with 50 products: each price between 1-100, qty=1, stock=10.",Record start time | Submit settlement for 50-product cart | Record end time,Response time < 200 ms.
TC-30,REQ-13,CI-30,Equivalence Partitioning,High,Repeat same valid cart request three times.,"Cart: [{'pid':'P01','price':25.50,'qty':4,'stock':20}]",Execute settlement request (first time) | Wait 1 second | Execute same request again (second time) | Wait 1 second | Execute same request again (third time) | Compare results,"All three responses have identical: order_original_price=102.00, shipping=10.00, final_amount=112.00, status='结算成功'."
TC-31,REQ-13,CI-31,Equivalence Partitioning,High,"Same valid cart, test at different times (e.g., morning and evening).","Cart: [{'pid':'P01','price':99.99,'qty':2,'stock':5}]","Submit settlement at time T1 (e.g., 09:00) | Record result | Submit settlement at time T2 (e.g., 21:00) with same input | Compare both results","Results are identical: order_original_price=199.98, shipping=10.00 (since <200), final_amount=209.98. Status success."
